trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-32.56594888872782,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-94.936445633565,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,16,-88.63814297355027,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,21.10334130176886,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-57.27272047575895,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-39.75895622379047,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-159.44965760405427,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,6,-64.84830393811853,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-52.62066411096751,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,13,-5.888481649893715,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,0,-116.5248691377553,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,3,-82.93925994179712,"{0: 11, 1: 1, 2: 1, 3: 4, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-75.91722996022372,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-104.73083292249359,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-1.2604677848544232,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,7,-50.02429166969324,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-71.66833869020289,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,8,-41.594386259187814,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-86.14601253125073,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,1,-23.25294616264515,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,13,-0.9518301084212846,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,6,-85.72667396590224,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
94,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-42.13513265363421,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,7,-130.87327700970442,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,3.3847741477841584,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,7,-10.01937945104623,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,15,-46.497649968038566,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-38.122478704833604,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,13,14.312354415237142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,11,-14.990818752076883,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-68.23977225460524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-1.580181700793424,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
